distance phi
12340.00 0.002256
12380.00 -0.001177
12420.00 0.000656
12460.00 -0.000648
12500.00 -0.001229
12540.00 -0.001313
12580.00 -0.000080
12620.00 0.002144
12660.00 -0.000173
12700.00 0.003720
12740.00 -0.000844
12780.00 -0.004313
12820.00 0.001712
12860.00 0.002725
12900.00 0.001402
12940.00 -0.003275
12980.00 0.000671
13020.00 -0.001621
13060.00 0.001565
13100.00 0.003800
13140.00 -0.006347
13180.00 -0.001107
13220.00 0.001251
13260.00 -0.003151
13300.00 -0.002114
13340.00 -0.007716
13380.00 0.000088
13420.00 0.003701
13460.00 0.009097
13500.00 0.000346
13540.00 -0.004300
13580.00 0.002095
13620.00 -0.006851
13660.00 -0.002130
13700.00 -0.007529
13740.00 -0.010761
13780.00 0.005753
13820.00 0.005445
13860.00 0.000474
13900.00 -0.006602
13940.00 -0.011629
13980.00 -0.005893
14020.00 0.006963
14060.00 -0.004595
14100.00 0.010274
14140.00 0.010153
14180.00 -0.016948
14220.00 0.000128
14260.00 0.020723
14300.00 -0.004576
14340.00 -0.005337
14380.00 -0.000197
14420.00 0.020969
14460.00 -0.021075
14500.00 0.006931
14540.00 -0.020983
14580.00 0.008559
14620.00 -0.026590
14660.00 0.015450
14700.00 -0.023869
14740.00 0.067864
14780.00 -0.013594
14820.00 -0.137432
14860.00 0.016122
14900.00 0.055477
14940.00 -0.212121
